work_rank,monster,ready,ignored_noncombat,edge_case,unsupported_count,complexity,unsupported_families,mechanics,fingerprint
37,Ankheg,False,False,False,2,10,limited-use | save-or-complex-action,advantage | attack-roll | condition:grappled | damage | damage:acid | damage:slashing | recharge | saving-throw,advantage+attack-roll+condition:grappled+damage+damage:acid+damage:slashing+recharge+saving-throw
,Bone Devil,True,False,False,0,10,,advantage | attack-roll | condition:poisoned | damage | damage:piercing | damage:poison | damage:slashing | healing | multiattack,advantage+attack-roll+condition:poisoned+damage+damage:piercing+damage:poison+damage:slashing+healing+multiattack
38,Pirate,False,False,False,2,10,condition-or-control | save-or-complex-action,attack-roll | aura | condition:charmed | damage | damage:piercing | multiattack | saving-throw,attack-roll+aura+condition:charmed+damage+damage:piercing+multiattack+saving-throw
,Constrictor Snake,True,False,False,0,10,,attack-roll | aura | condition:grappled | damage | damage:bludgeoning | damage:piercing | saving-throw,attack-roll+aura+condition:grappled+damage+damage:bludgeoning+damage:piercing+saving-throw
118,Gelatinous Cube,False,False,False,4,10,condition-or-control | save-or-complex-action | spellcasting | trait,attack-roll | aura | condition:restrained | damage | damage:acid | disadvantage | saving-throw,attack-roll+aura+condition:restrained+damage+damage:acid+disadvantage+saving-throw
39,Treant,False,False,False,2,10,limited-use | trait,attack-roll | aura | damage | damage:bludgeoning | damage:piercing | limited-use | multiattack,attack-roll+aura+damage+damage:bludgeoning+damage:piercing+limited-use+multiattack
40,Young Copper Dragon,False,False,False,2,10,limited-use | save-or-complex-action,attack-roll | bonus-action | damage | damage:acid | damage:slashing | multiattack | recharge | saving-throw,attack-roll+bonus-action+damage+damage:acid+damage:slashing+multiattack+recharge+saving-throw
41,Ghast,False,False,False,2,10,condition-or-control | save-or-complex-action,attack-roll | condition:paralyzed | condition:poisoned | damage | damage:necrotic | damage:piercing | damage:slashing | immunity | saving-throw,attack-roll+condition:paralyzed+condition:poisoned+damage+damage:necrotic+damage:piercing+damage:slashing+immunity+saving-throw
42,Vampire Familiar,False,False,False,2,10,condition-or-control | defense-clause,attack-roll | condition:paralyzed | condition:poisoned | damage | damage:necrotic | damage:piercing | multiattack | zero-hp-effect,attack-roll+condition:paralyzed+condition:poisoned+damage+damage:necrotic+damage:piercing+multiattack+zero-hp-effect
16,Phase Spider,False,False,False,1,10,condition-or-control,attack-roll | condition:paralyzed | condition:poisoned | damage | damage:piercing | damage:poison | multiattack | zero-hp-effect,attack-roll+condition:paralyzed+condition:poisoned+damage+damage:piercing+damage:poison+multiattack+zero-hp-effect
43,Cockatrice,False,False,False,2,10,condition-or-control | save-or-complex-action,attack-roll | condition:petrified | condition:restrained | damage | damage:piercing | repeat-save | saving-throw,attack-roll+condition:petrified+condition:restrained+damage+damage:piercing+repeat-save+saving-throw
44,Centaur Trooper,False,False,False,2,10,bonus-action | limited-use,attack-roll | condition:prone | damage | damage:bludgeoning | damage:piercing | multiattack | recharge | saving-throw,attack-roll+condition:prone+damage+damage:bludgeoning+damage:piercing+multiattack+recharge+saving-throw
83,Bronze Dragon Wyrmling,False,False,False,3,10,condition-or-control | limited-use | save-or-complex-action,attack-roll | condition:prone | damage | damage:lightning | damage:slashing | multiattack | recharge | saving-throw,attack-roll+condition:prone+damage+damage:lightning+damage:slashing+multiattack+recharge+saving-throw
84,Young Bronze Dragon,False,False,False,3,10,condition-or-control | limited-use | save-or-complex-action,attack-roll | condition:prone | damage | damage:lightning | damage:slashing | multiattack | recharge | saving-throw,attack-roll+condition:prone+damage+damage:lightning+damage:slashing+multiattack+recharge+saving-throw
85,Priest Acolyte,False,False,False,3,10,bonus-action | limited-use | spellcasting,attack-roll | damage | damage:bludgeoning | damage:radiant | limited-use | spellcasting,attack-roll+damage+damage:bludgeoning+damage:radiant+limited-use+spellcasting
119,Mage,False,False,False,4,10,bonus-action | limited-use | reaction | spellcasting,attack-roll | damage | damage:force | limited-use | multiattack | spellcasting,attack-roll+damage+damage:force+limited-use+multiattack+spellcasting
86,Cultist Fanatic,False,False,False,3,10,bonus-action | limited-use | spellcasting,attack-roll | damage | damage:necrotic | damage:slashing | limited-use | spellcasting,attack-roll+damage+damage:necrotic+damage:slashing+limited-use+spellcasting
87,Pirate Captain,False,False,False,3,11,bonus-action | reaction | unsupported-action-rider,advantage | attack-roll | aura | condition:charmed | damage | damage:piercing | multiattack | saving-throw,advantage+attack-roll+aura+condition:charmed+damage+damage:piercing+multiattack+saving-throw
,Bugbear Stalker,True,False,False,0,11,,advantage | attack-roll | aura | condition:grappled | damage | damage:piercing | multiattack | saving-throw,advantage+attack-roll+aura+condition:grappled+damage+damage:piercing+multiattack+saving-throw
,Hobgoblin Captain,True,False,False,0,11,,advantage | attack-roll | aura | condition:incapacitated | damage | damage:piercing | damage:poison | damage:slashing | multiattack,advantage+attack-roll+aura+condition:incapacitated+damage+damage:piercing+damage:poison+damage:slashing+multiattack
17,Flesh Golem,False,False,False,1,11,trait,advantage | attack-roll | aura | damage | damage:bludgeoning | damage:fire | damage:lightning | disadvantage | multiattack,advantage+attack-roll+aura+damage+damage:bludgeoning+damage:fire+damage:lightning+disadvantage+multiattack
45,Clay Golem,False,False,False,2,11,trait | unsupported-action-rider,advantage | attack-roll | damage | damage:acid | damage:bludgeoning | max-hp-change | multiattack | recharge,advantage+attack-roll+damage+damage:acid+damage:bludgeoning+max-hp-change+multiattack+recharge
46,Frost Giant,False,False,False,2,11,bonus-action | limited-use,advantage | attack-roll | damage | damage:cold | damage:piercing | damage:slashing | multiattack | recharge | temporary-hp,advantage+attack-roll+damage+damage:cold+damage:piercing+damage:slashing+multiattack+recharge+temporary-hp
88,Iron Golem,False,False,False,3,11,limited-use | save-or-complex-action | trait,advantage | attack-roll | damage | damage:fire | damage:poison | damage:slashing | multiattack | recharge | saving-throw,advantage+attack-roll+damage+damage:fire+damage:poison+damage:slashing+multiattack+recharge+saving-throw
135,Archmage,False,False,False,5,11,bonus-action | defense-clause | limited-use | reaction | spellcasting,advantage | attack-roll | damage | damage:force | limited-use | multiattack | spellcasting,advantage+attack-roll+damage+damage:force+limited-use+multiattack+spellcasting
,Giant Constrictor Snake,True,False,False,0,11,,attack-roll | aura | condition:grappled | damage | damage:bludgeoning | damage:piercing | multiattack | saving-throw,attack-roll+aura+condition:grappled+damage+damage:bludgeoning+damage:piercing+multiattack+saving-throw
47,Bulette,False,False,False,2,11,condition-or-control | save-or-complex-action,attack-roll | aura | condition:prone | damage | damage:bludgeoning | damage:piercing | multiattack | saving-throw,attack-roll+aura+condition:prone+damage+damage:bludgeoning+damage:piercing+multiattack+saving-throw
48,Elephant,False,False,False,2,11,bonus-action | condition-or-control,attack-roll | aura | condition:prone | damage | damage:bludgeoning | damage:piercing | multiattack | saving-throw,attack-roll+aura+condition:prone+damage+damage:bludgeoning+damage:piercing+multiattack+saving-throw
49,Gladiator,False,False,False,2,11,condition-or-control | save-or-complex-action,attack-roll | aura | condition:prone | damage | damage:bludgeoning | damage:piercing | multiattack | saving-throw,attack-roll+aura+condition:prone+damage+damage:bludgeoning+damage:piercing+multiattack+saving-throw
50,Mammoth,False,False,False,2,11,bonus-action | condition-or-control,attack-roll | aura | condition:prone | damage | damage:bludgeoning | damage:piercing | multiattack | saving-throw,attack-roll+aura+condition:prone+damage+damage:bludgeoning+damage:piercing+multiattack+saving-throw
89,Rust Monster,False,False,False,3,11,reaction | save-or-complex-action | spellcasting,attack-roll | aura | damage | damage:piercing | flat-modifier | multiattack | saving-throw,attack-roll+aura+damage+damage:piercing+flat-modifier+multiattack+saving-throw
90,Dragon Turtle,False,False,False,3,11,condition-or-control | limited-use | save-or-complex-action,attack-roll | condition:prone | damage | damage:bludgeoning | damage:fire | damage:piercing | multiattack | recharge | saving-throw,attack-roll+condition:prone+damage+damage:bludgeoning+damage:fire+damage:piercing+multiattack+recharge+saving-throw
51,Wereboar,False,False,False,2,11,condition-or-control | save-or-complex-action,attack-roll | condition:prone | damage | damage:piercing | immunity | multiattack | saving-throw | zero-hp-effect,attack-roll+condition:prone+damage+damage:piercing+immunity+multiattack+saving-throw+zero-hp-effect
91,Priest,False,False,False,3,11,bonus-action | limited-use | spellcasting,attack-roll | damage | damage:bludgeoning | damage:radiant | limited-use | multiattack | spellcasting,attack-roll+damage+damage:bludgeoning+damage:radiant+limited-use+multiattack+spellcasting
52,Magma Mephit,False,False,False,2,11,limited-use | save-or-complex-action,attack-roll | damage | damage:fire | damage:slashing | death-trigger | recharge | saving-throw,attack-roll+damage+damage:fire+damage:slashing+death-trigger+recharge+saving-throw
18,Werebear,False,False,False,1,11,save-or-complex-action,attack-roll | damage | damage:piercing | damage:slashing | immunity | multiattack | saving-throw | zero-hp-effect,attack-roll+damage+damage:piercing+damage:slashing+immunity+multiattack+saving-throw+zero-hp-effect
19,Wererat,False,False,False,1,11,save-or-complex-action,attack-roll | damage | damage:piercing | damage:slashing | immunity | multiattack | saving-throw | zero-hp-effect,attack-roll+damage+damage:piercing+damage:slashing+immunity+multiattack+saving-throw+zero-hp-effect
53,Weretiger,False,False,False,2,11,bonus-action | save-or-complex-action,attack-roll | damage | damage:piercing | damage:slashing | immunity | multiattack | saving-throw | zero-hp-effect,attack-roll+damage+damage:piercing+damage:slashing+immunity+multiattack+saving-throw+zero-hp-effect
54,Lion,False,False,False,2,12,condition-or-control | save-or-complex-action,advantage | attack-roll | aura | condition:frightened | condition:incapacitated | damage | damage:slashing | multiattack | saving-throw,advantage+attack-roll+aura+condition:frightened+condition:incapacitated+damage+damage:slashing+multiattack+saving-throw
20,Horned Devil,False,False,False,1,12,save-or-complex-action,advantage | attack-roll | aura | damage | damage:fire | damage:necrotic | damage:piercing | multiattack | saving-throw,advantage+attack-roll+aura+damage+damage:fire+damage:necrotic+damage:piercing+multiattack+saving-throw
55,Sphinx of Wonder,False,False,False,2,12,limited-use | reaction,advantage | attack-roll | aura | damage | damage:radiant | damage:slashing | limited-use | saving-throw,advantage+attack-roll+aura+damage+damage:radiant+damage:slashing+limited-use+saving-throw
92,Stone Golem,False,False,False,3,12,bonus-action | limited-use | spellcasting,advantage | attack-roll | damage | damage:bludgeoning | damage:force | multiattack | recharge | spellcasting,advantage+attack-roll+damage+damage:bludgeoning+damage:force+multiattack+recharge+spellcasting
56,Efreeti,False,False,False,2,12,spellcasting | trait,advantage | attack-roll | damage | damage:fire | damage:slashing | limited-use | multiattack | spellcasting,advantage+attack-roll+damage+damage:fire+damage:slashing+limited-use+multiattack+spellcasting
93,Giant Ape,False,False,False,3,12,condition-or-control | limited-use | save-or-complex-action,attack-roll | aura | condition:prone | damage | damage:bludgeoning | multiattack | recharge | saving-throw,attack-roll+aura+condition:prone+damage+damage:bludgeoning+multiattack+recharge+saving-throw
94,Cloud Giant,False,False,False,3,12,bonus-action | condition-or-control | spellcasting,attack-roll | condition:incapacitated | damage | damage:bludgeoning | damage:thunder | limited-use | multiattack | spellcasting,attack-roll+condition:incapacitated+damage+damage:bludgeoning+damage:thunder+limited-use+multiattack+spellcasting
21,Druid,False,False,False,1,12,spellcasting,attack-roll | damage | damage:bludgeoning | damage:poison | damage:radiant | limited-use | multiattack | spellcasting,attack-roll+damage+damage:bludgeoning+damage:poison+damage:radiant+limited-use+multiattack+spellcasting
,Troll Limb,True,False,False,0,12,,attack-roll | damage | damage:fire | damage:slashing | healing | regeneration | zero-hp-effect,attack-roll+damage+damage:fire+damage:slashing+healing+regeneration+zero-hp-effect
57,Spirit Naga,False,False,False,2,12,spellcasting | trait,attack-roll | damage | damage:necrotic | damage:piercing | damage:poison | limited-use | multiattack | spellcasting,attack-roll+damage+damage:necrotic+damage:piercing+damage:poison+limited-use+multiattack+spellcasting
95,Drider,False,False,False,3,12,bonus-action | limited-use | spellcasting,attack-roll | damage | damage:piercing | damage:poison | disadvantage | multiattack | recharge | spellcasting,attack-roll+damage+damage:piercing+damage:poison+disadvantage+multiattack+recharge+spellcasting
58,Pseudodragon,False,False,False,2,13,condition-or-control | save-or-complex-action,advantage | attack-roll | aura | condition:poisoned | condition:unconscious | damage | damage:piercing | damage:poison | multiattack | saving-throw,advantage+attack-roll+aura+condition:poisoned+condition:unconscious+damage+damage:piercing+damage:poison+multiattack+saving-throw
120,Chimera,False,False,False,4,13,condition-or-control | limited-use | save-or-complex-action | unsupported-action-rider,advantage | attack-roll | condition:prone | damage | damage:bludgeoning | damage:fire | damage:piercing | damage:slashing | multiattack | recharge | saving-throw,advantage+attack-roll+condition:prone+damage+damage:bludgeoning+damage:fire+damage:piercing+damage:slashing+multiattack+recharge+saving-throw
22,Stirge,False,False,False,1,13,attachment-state,attachment-state | attack-roll | aura | damage | damage:necrotic | damage:piercing,attachment-state+attack-roll+aura+damage+damage:necrotic+damage:piercing
96,Shambling Mound,False,False,False,3,13,condition-or-control | save-or-complex-action | trait,attack-roll | aura | condition:blinded | condition:grappled | condition:restrained | damage | damage:bludgeoning | damage:lightning | multiattack | saving-throw,attack-roll+aura+condition:blinded+condition:grappled+condition:restrained+damage+damage:bludgeoning+damage:lightning+multiattack+saving-throw
97,Sprite,False,False,False,3,13,condition-or-control | save-or-complex-action | spellcasting,attack-roll | aura | condition:charmed | damage | damage:piercing | saving-throw | spellcasting,attack-roll+aura+condition:charmed+damage+damage:piercing+saving-throw+spellcasting
59,Salamander,False,False,False,2,13,condition-or-control | save-or-complex-action,attack-roll | aura | condition:grappled | condition:restrained | damage | damage:bludgeoning | damage:fire | damage:piercing | multiattack | saving-throw,attack-roll+aura+condition:grappled+condition:restrained+damage+damage:bludgeoning+damage:fire+damage:piercing+multiattack+saving-throw
60,Green Hag,False,False,False,2,13,spellcasting | trait,attack-roll | aura | condition:invisible | damage | damage:poison | damage:slashing | multiattack | spellcasting,attack-roll+aura+condition:invisible+damage+damage:poison+damage:slashing+multiattack+spellcasting
61,Swarm of Ravens,False,False,False,2,13,limited-use | save-or-complex-action,attack-roll | condition:deafened | damage | damage:piercing | disadvantage | healing | recharge | saving-throw | temporary-hp,attack-roll+condition:deafened+damage+damage:piercing+disadvantage+healing+recharge+saving-throw+temporary-hp
98,Otyugh,False,False,False,3,13,condition-or-control | save-or-complex-action | unsupported-action-rider,attack-roll | condition:grappled | condition:poisoned | condition:stunned | damage | damage:bludgeoning | damage:piercing | max-hp-change | multiattack | saving-throw,attack-roll+condition:grappled+condition:poisoned+condition:stunned+damage+damage:bludgeoning+damage:piercing+max-hp-change+multiattack+saving-throw
99,Steam Mephit,False,False,False,3,13,limited-use | save-or-complex-action | trait,attack-roll | condition:incapacitated | damage | damage:fire | damage:slashing | death-trigger | disadvantage | recharge | saving-throw,attack-roll+condition:incapacitated+damage+damage:fire+damage:slashing+death-trigger+disadvantage+recharge+saving-throw
62,Basilisk,False,False,False,2,13,bonus-action | limited-use,attack-roll | condition:petrified | condition:restrained | damage | damage:piercing | damage:poison | recharge | repeat-save | saving-throw,attack-roll+condition:petrified+condition:restrained+damage+damage:piercing+damage:poison+recharge+repeat-save+saving-throw
100,Death Dog,False,False,False,3,13,condition-or-control | save-or-complex-action | unsupported-action-rider,attack-roll | condition:poisoned | damage | damage:piercing | max-hp-change | multiattack | repeat-save | saving-throw,attack-roll+condition:poisoned+damage+damage:piercing+max-hp-change+multiattack+repeat-save+saving-throw
63,Gold Dragon Wyrmling,False,False,False,2,13,limited-use | save-or-complex-action,attack-roll | damage | damage:fire | damage:slashing | disadvantage | multiattack | recharge | repeat-save | saving-throw,attack-roll+damage+damage:fire+damage:slashing+disadvantage+multiattack+recharge+repeat-save+saving-throw
64,Young Gold Dragon,False,False,False,2,13,limited-use | save-or-complex-action,attack-roll | damage | damage:fire | damage:slashing | disadvantage | multiattack | recharge | repeat-save | saving-throw,attack-roll+damage+damage:fire+damage:slashing+disadvantage+multiattack+recharge+repeat-save+saving-throw
,Winter Wolf,True,False,False,0,14,,advantage | attack-roll | aura | condition:incapacitated | condition:prone | damage | damage:cold | damage:piercing | recharge | saving-throw,advantage+attack-roll+aura+condition:incapacitated+condition:prone+damage+damage:cold+damage:piercing+recharge+saving-throw
,Hell Hound,True,False,False,0,14,,advantage | attack-roll | aura | condition:incapacitated | damage | damage:fire | damage:piercing | multiattack | recharge | saving-throw,advantage+attack-roll+aura+condition:incapacitated+damage+damage:fire+damage:piercing+multiattack+recharge+saving-throw
65,Bearded Devil,False,False,False,2,14,condition-or-control | save-or-complex-action,advantage | attack-roll | aura | condition:poisoned | damage | damage:piercing | damage:slashing | healing | multiattack | saving-throw,advantage+attack-roll+aura+condition:poisoned+damage+damage:piercing+damage:slashing+healing+multiattack+saving-throw
101,Remorhaz,False,False,False,3,14,bonus-action | condition-or-control | trait,attack-roll | aura | condition:blinded | condition:grappled | condition:prone | condition:restrained | damage | damage:acid | damage:fire | damage:piercing | saving-throw,attack-roll+aura+condition:blinded+condition:grappled+condition:prone+condition:restrained+damage+damage:acid+damage:fire+damage:piercing+saving-throw
102,Giant Spider,False,False,False,3,14,condition-or-control | limited-use | save-or-complex-action,attack-roll | aura | condition:restrained | damage | damage:fire | damage:piercing | damage:poison | damage:psychic | recharge | saving-throw,attack-roll+aura+condition:restrained+damage+damage:fire+damage:piercing+damage:poison+damage:psychic+recharge+saving-throw
103,Silver Dragon Wyrmling,False,False,False,3,14,condition-or-control | limited-use | save-or-complex-action,attack-roll | condition:incapacitated | condition:paralyzed | damage | damage:cold | damage:piercing | multiattack | recharge | repeat-save | saving-throw,attack-roll+condition:incapacitated+condition:paralyzed+damage+damage:cold+damage:piercing+multiattack+recharge+repeat-save+saving-throw
104,Young Silver Dragon,False,False,False,3,14,condition-or-control | limited-use | save-or-complex-action,attack-roll | condition:incapacitated | condition:paralyzed | damage | damage:cold | damage:slashing | multiattack | recharge | repeat-save | saving-throw,attack-roll+condition:incapacitated+condition:paralyzed+damage+damage:cold+damage:slashing+multiattack+recharge+repeat-save+saving-throw
23,Dryad,False,False,False,1,15,spellcasting,advantage | attack-roll | aura | damage | damage:piercing | damage:slashing | limited-use | multiattack | spellcasting,advantage+attack-roll+aura+damage+damage:piercing+damage:slashing+limited-use+multiattack+spellcasting
66,Glabrezu,False,False,False,2,15,save-or-complex-action | spellcasting,advantage | attack-roll | condition:grappled | damage | damage:bludgeoning | damage:slashing | limited-use | multiattack | saving-throw | spellcasting,advantage+attack-roll+condition:grappled+damage+damage:bludgeoning+damage:slashing+limited-use+multiattack+saving-throw+spellcasting
67,Purple Worm,False,False,False,2,15,bonus-action | condition-or-control,attack-roll | aura | condition:blinded | condition:grappled | condition:prone | condition:restrained | damage | damage:acid | damage:piercing | damage:poison | multiattack | saving-throw,attack-roll+aura+condition:blinded+condition:grappled+condition:prone+condition:restrained+damage+damage:acid+damage:piercing+damage:poison+multiattack+saving-throw
68,Chuul,False,False,False,2,15,condition-or-control | save-or-complex-action,attack-roll | aura | condition:grappled | condition:paralyzed | condition:poisoned | damage | damage:bludgeoning | multiattack | repeat-save | saving-throw,attack-roll+aura+condition:grappled+condition:paralyzed+condition:poisoned+damage+damage:bludgeoning+multiattack+repeat-save+saving-throw
121,Water Elemental,False,False,False,4,15,condition-or-control | limited-use | save-or-complex-action | trait,attack-roll | aura | condition:grappled | condition:prone | condition:restrained | damage | damage:bludgeoning | damage:cold | multiattack | recharge | saving-throw,attack-roll+aura+condition:grappled+condition:prone+condition:restrained+damage+damage:bludgeoning+damage:cold+multiattack+recharge+saving-throw
69,Wight,False,False,False,2,15,save-or-complex-action | unsupported-action-rider,attack-roll | aura | damage | damage:necrotic | damage:piercing | damage:slashing | disadvantage | max-hp-change | multiattack | saving-throw,attack-roll+aura+damage+damage:necrotic+damage:piercing+damage:slashing+disadvantage+max-hp-change+multiattack+saving-throw
70,Medusa,False,False,False,2,15,bonus-action | limited-use,attack-roll | condition:petrified | condition:restrained | damage | damage:piercing | damage:poison | damage:slashing | multiattack | recharge | repeat-save | saving-throw,attack-roll+condition:petrified+condition:restrained+damage+damage:piercing+damage:poison+damage:slashing+multiattack+recharge+repeat-save+saving-throw
71,Troll,False,False,False,2,15,limited-use | trait,attack-roll | damage | damage:fire | damage:slashing | healing | limited-use | multiattack | regeneration | zero-hp-effect,attack-roll+damage+damage:fire+damage:slashing+healing+limited-use+multiattack+regeneration+zero-hp-effect
72,Nalfeshnee,False,False,False,2,16,bonus-action | limited-use,advantage | attack-roll | aura | condition:frightened | damage | damage:force | damage:psychic | damage:slashing | immunity | multiattack | recharge | saving-throw,advantage+attack-roll+aura+condition:frightened+damage+damage:force+damage:psychic+damage:slashing+immunity+multiattack+recharge+saving-throw
24,Werewolf,False,False,False,1,16,save-or-complex-action,advantage | attack-roll | aura | condition:incapacitated | damage | damage:piercing | damage:slashing | immunity | multiattack | saving-throw | zero-hp-effect,advantage+attack-roll+aura+condition:incapacitated+damage+damage:piercing+damage:slashing+immunity+multiattack+saving-throw+zero-hp-effect
73,Ice Devil,False,False,False,2,16,limited-use | spellcasting,advantage | attack-roll | bonus-action | damage | damage:bludgeoning | damage:cold | damage:piercing | multiattack | reaction | recharge | spellcasting,advantage+attack-roll+bonus-action+damage+damage:bludgeoning+damage:cold+damage:piercing+multiattack+reaction+recharge+spellcasting
105,Brass Dragon Wyrmling,False,False,False,3,16,condition-or-control | limited-use | save-or-complex-action,attack-roll | aura | condition:incapacitated | condition:unconscious | damage | damage:fire | damage:slashing | recharge | repeat-save | saving-throw,attack-roll+aura+condition:incapacitated+condition:unconscious+damage+damage:fire+damage:slashing+recharge+repeat-save+saving-throw
106,Chain Devil,False,False,False,3,17,condition-or-control | reaction | save-or-complex-action,advantage | attack-roll | aura | condition:frightened | condition:grappled | condition:restrained | damage | damage:fire | damage:slashing | end-turn | immunity | multiattack | saving-throw,advantage+attack-roll+aura+condition:frightened+condition:grappled+condition:restrained+damage+damage:fire+damage:slashing+end-turn+immunity+multiattack+saving-throw
136,Planetar,False,False,False,5,17,bonus-action | limited-use | save-or-complex-action | spellcasting | trait,advantage | attack-roll | aura | damage | damage:radiant | damage:slashing | limited-use | multiattack | saving-throw | spellcasting,advantage+attack-roll+aura+damage+damage:radiant+damage:slashing+limited-use+multiattack+saving-throw+spellcasting
122,Doppelganger,False,False,False,4,17,condition-or-control | limited-use | save-or-complex-action | spellcasting,advantage | attack-roll | condition:frightened | damage | damage:bludgeoning | multiattack | recharge | repeat-save | saving-throw | spellcasting,advantage+attack-roll+condition:frightened+damage+damage:bludgeoning+multiattack+recharge+repeat-save+saving-throw+spellcasting
74,Harpy,False,False,False,2,17,condition-or-control | save-or-complex-action,attack-roll | aura | concentration | condition:charmed | condition:incapacitated | damage | damage:slashing | immunity | repeat-save | saving-throw,attack-roll+aura+concentration+condition:charmed+condition:incapacitated+damage+damage:slashing+immunity+repeat-save+saving-throw
123,Guardian Naga,False,False,False,4,17,condition-or-control | save-or-complex-action | spellcasting | trait,attack-roll | aura | condition:blinded | damage | damage:piercing | damage:poison | limited-use | multiattack | saving-throw | spellcasting,attack-roll+aura+condition:blinded+damage+damage:piercing+damage:poison+limited-use+multiattack+saving-throw+spellcasting
124,Succubus,False,False,False,4,17,condition-or-control | save-or-complex-action | spellcasting | unsupported-action-rider,attack-roll | aura | condition:charmed | damage | damage:psychic | max-hp-change | multiattack | saving-throw | spellcasting,attack-roll+aura+condition:charmed+damage+damage:psychic+max-hp-change+multiattack+saving-throw+spellcasting
107,Young Brass Dragon,False,False,False,3,17,condition-or-control | limited-use | save-or-complex-action,attack-roll | aura | condition:incapacitated | condition:unconscious | damage | damage:fire | damage:slashing | multiattack | recharge | repeat-save | saving-throw,attack-roll+aura+condition:incapacitated+condition:unconscious+damage+damage:fire+damage:slashing+multiattack+recharge+repeat-save+saving-throw
125,Gorgon,False,False,False,4,17,bonus-action | condition-or-control | limited-use | save-or-complex-action,attack-roll | aura | condition:petrified | condition:prone | condition:restrained | damage | damage:bludgeoning | damage:piercing | recharge | repeat-save | saving-throw,attack-roll+aura+condition:petrified+condition:prone+condition:restrained+damage+damage:bludgeoning+damage:piercing+recharge+repeat-save+saving-throw
126,Ettercap,False,False,False,4,17,bonus-action | condition-or-control | limited-use | save-or-complex-action,attack-roll | aura | condition:poisoned | condition:restrained | damage | damage:fire | damage:piercing | damage:poison | damage:psychic | damage:slashing | multiattack | recharge | saving-throw,attack-roll+aura+condition:poisoned+condition:restrained+damage+damage:fire+damage:piercing+damage:poison+damage:psychic+damage:slashing+multiattack+recharge+saving-throw
108,Stone Giant,False,False,False,3,17,condition-or-control | limited-use | reaction,attack-roll | aura | condition:prone | damage | damage:bludgeoning | damage:force | damage:slashing | multiattack | recharge | saving-throw | zero-hp-effect,attack-roll+aura+condition:prone+damage+damage:bludgeoning+damage:force+damage:slashing+multiattack+recharge+saving-throw+zero-hp-effect
109,Ice Mephit,False,False,False,3,17,limited-use | save-or-complex-action | spellcasting,attack-roll | damage | damage:cold | damage:slashing | death-trigger | limited-use | recharge | saving-throw | spellcasting,attack-roll+damage+damage:cold+damage:slashing+death-trigger+limited-use+recharge+saving-throw+spellcasting
110,Erinyes,False,False,False,3,18,condition-or-control | save-or-complex-action | trait,advantage | attack-roll | aura | bonus-action | condition:restrained | damage | damage:force | damage:necrotic | damage:psychic | damage:slashing | multiattack | saving-throw | zero-hp-effect,advantage+attack-roll+aura+bonus-action+condition:restrained+damage+damage:force+damage:necrotic+damage:psychic+damage:slashing+multiattack+saving-throw+zero-hp-effect
75,Marilith,False,False,False,2,18,condition-or-control | save-or-complex-action,advantage | attack-roll | aura | condition:grappled | condition:restrained | damage | damage:bludgeoning | damage:necrotic | damage:slashing | multiattack | reaction | recharge | saving-throw,advantage+attack-roll+aura+condition:grappled+condition:restrained+damage+damage:bludgeoning+damage:necrotic+damage:slashing+multiattack+reaction+recharge+saving-throw
111,Vrock,False,False,False,3,18,condition-or-control | limited-use | save-or-complex-action,advantage | attack-roll | condition:poisoned | condition:stunned | damage | damage:piercing | damage:poison | damage:thunder | limited-use | multiattack | recharge | repeat-save | saving-throw,advantage+attack-roll+condition:poisoned+condition:stunned+damage+damage:piercing+damage:poison+damage:thunder+limited-use+multiattack+recharge+repeat-save+saving-throw
127,Gibbering Mouther,False,False,False,4,18,condition-or-control | limited-use | save-or-complex-action | trait,attack-roll | aura | bonus-action | condition:blinded | condition:incapacitated | condition:prone | damage | damage:piercing | damage:radiant | recharge | saving-throw | zero-hp-effect,attack-roll+aura+bonus-action+condition:blinded+condition:incapacitated+condition:prone+damage+damage:piercing+damage:radiant+recharge+saving-throw+zero-hp-effect
76,Will-o’-Wisp,False,False,False,2,18,bonus-action | trait,attack-roll | aura | concentration | condition:invisible | damage | damage:force | damage:lightning | healing | saving-throw | zero-hp-effect,attack-roll+aura+concentration+condition:invisible+damage+damage:force+damage:lightning+healing+saving-throw+zero-hp-effect
128,Behir,False,False,False,4,18,bonus-action | condition-or-control | limited-use | save-or-complex-action,attack-roll | aura | condition:blinded | condition:grappled | condition:prone | condition:restrained | damage | damage:acid | damage:bludgeoning | damage:lightning | damage:piercing | multiattack | recharge | saving-throw,attack-roll+aura+condition:blinded+condition:grappled+condition:prone+condition:restrained+damage+damage:acid+damage:bludgeoning+damage:lightning+damage:piercing+multiattack+recharge+saving-throw
112,Lamia,False,False,False,3,18,condition-or-control | save-or-complex-action | spellcasting,attack-roll | aura | condition:charmed | condition:poisoned | damage | damage:psychic | damage:slashing | limited-use | multiattack | saving-throw | spellcasting,attack-roll+aura+condition:charmed+condition:poisoned+damage+damage:psychic+damage:slashing+limited-use+multiattack+saving-throw+spellcasting
113,Incubus,False,False,False,3,18,bonus-action | limited-use | spellcasting,attack-roll | aura | condition:unconscious | damage | damage:psychic | limited-use | multiattack | recharge | saving-throw | spellcasting,attack-roll+aura+condition:unconscious+damage+damage:psychic+limited-use+multiattack+recharge+saving-throw+spellcasting
