capability_id,observed_on_raw_ready,parse_error,complexity,source_ability_count,monster_count,ready_monster_count,blocked_monster_count,mechanics,sections,source_names,exact_fingerprints,ready_monsters,blocked_monsters
aura+condition:frightened+saving-throw,True,False,6,3,3,1,2,aura | condition:frightened | saving-throw,action | trait,Dreadful Glare | Roar | Vile Appearance,aura+condition:frightened+saving-throw,Lion,Mummy | Sea Hag
aura+condition:prone+damage+damage:typed+saving-throw,True,False,8,5,5,3,2,aura | condition:prone | damage | damage:bludgeoning | saving-throw,action | bonus-action,Deadly Leap | Shield Bash | Trample,aura+condition:prone+damage+damage:bludgeoning+saving-throw,Elephant | Gladiator | Mammoth,Bulette | Gorgon
attack-roll+damage+damage:typed+flat-modifier,False,False,5,3,2,0,2,attack-roll | damage | damage:acid | flat-modifier,action | trait,Corrosive Form | Dissolving Pseudopod | Pseudopod,attack-roll+damage+damage:acid+flat-modifier,,Black Pudding | Gray Ooze
aura+limited-use,False,False,5,2,2,0,2,aura | limited-use,action | reaction,Animate Trees (1/Day) | Ink Cloud (1/Day),aura+limited-use,,Octopus | Treant
condition:grappled+damage+damage:typed+saving-throw,False,False,5,2,2,0,2,condition:grappled | damage | damage:bludgeoning | damage:thunder | saving-throw,action,Pummel | Vortex,condition:grappled+damage+damage:bludgeoning+saving-throw | condition:grappled+damage+damage:thunder+saving-throw,,Glabrezu | Invisible Stalker
healing+regeneration,False,False,5,2,2,0,2,healing | regeneration,trait,Regeneration,healing+regeneration,,Oni | Shield Guardian
damage+disadvantage+repeat-save+saving-throw,False,False,7,2,2,0,2,damage | disadvantage | repeat-save | saving-throw,action,Weakening Breath,damage+disadvantage+repeat-save+saving-throw,,Gold Dragon Wyrmling | Young Gold Dragon
aura+condition:deafened+damage+damage:typed+saving-throw,False,False,8,2,2,0,2,aura | condition:deafened | damage | damage:thunder | saving-throw,legendary-action,Thunderclap,aura+condition:deafened+damage+damage:thunder+saving-throw,,Adult Bronze Dragon | Ancient Bronze Dragon
aura+condition:incapacitated+damage+damage:typed+saving-throw,False,False,8,2,2,0,2,aura | condition:incapacitated | damage | damage:force | saving-throw,legendary-action,Banish,aura+condition:incapacitated+damage+damage:force+saving-throw,,Adult Gold Dragon | Ancient Gold Dragon
aura+condition:restrained+damage+damage:typed+saving-throw,False,False,8,2,2,0,2,aura | condition:restrained | damage | damage:acid | damage:fire | saving-throw,action,Conjure Infernal Chain | Engulf,aura+condition:restrained+damage+damage:acid+saving-throw | aura+condition:restrained+damage+damage:fire+saving-throw,,Chain Devil | Gelatinous Cube
aura+damage+damage:typed+flat-modifier+saving-throw,False,False,9,2,2,0,2,aura | damage | damage:poison | flat-modifier | saving-throw,legendary-action,Noxious Miasma,aura+damage+damage:poison+flat-modifier+saving-throw,,Adult Green Dragon | Ancient Green Dragon
aura+concentration+damage+damage:typed+disadvantage+saving-throw,False,False,11,2,2,0,2,aura | concentration | damage | damage:poison | disadvantage | saving-throw,legendary-action,Cloud of Insects,aura+concentration+damage+damage:poison+disadvantage+saving-throw,,Adult Black Dragon | Ancient Black Dragon
aura+condition:restrained+damage+damage:typed+recharge+saving-throw,False,False,11,2,2,0,2,aura | condition:restrained | damage | damage:fire | damage:psychic | recharge | saving-throw,action,Web (Recharge 5-6) | Web Strand (Recharge 5-6),aura+condition:restrained+damage+damage:fire+damage:psychic+recharge+saving-throw,,Ettercap | Giant Spider
attack-roll+damage+damage:typed+healing+max-hp-change+zero-hp-effect,False,False,12,2,2,0,2,attack-roll | damage | damage:bludgeoning | damage:necrotic | healing | max-hp-change | zero-hp-effect,action,Rotting Fist,attack-roll+damage+damage:bludgeoning+damage:necrotic+healing+max-hp-change+zero-hp-effect,,Mummy | Mummy Lord
concentration+damage+disadvantage+limited-use+repeat-save+saving-throw+spellcasting+temporary-hp+transformation,False,False,25,2,2,0,2,concentration | damage | disadvantage | limited-use | repeat-save | saving-throw | spellcasting | temporary-hp | transformation,action,Spellcasting,concentration+damage+disadvantage+limited-use+repeat-save+saving-throw+spellcasting+temporary-hp+transformation,,Adult Gold Dragon | Ancient Gold Dragon
aura,True,False,3,2,2,1,1,aura,reaction | trait,Berserk | Redirect Attack,aura,Goblin Boss,Flesh Golem
condition:poisoned+saving-throw,True,False,3,2,2,1,1,condition:poisoned | saving-throw,trait,Stench,condition:poisoned+saving-throw,Hezrou,Ghast
healing+temporary-hp,True,False,4,7,7,6,1,healing | temporary-hp,trait,Swarm,healing+temporary-hp,Swarm of Bats | Swarm of Crawling Claws | Swarm of Insects | Swarm of Piranhas | Swarm of Rats | Swarm of Venomous Snakes,Swarm of Ravens
advantage+attack-roll+condition:grappled+damage+damage:typed,True,False,5,4,4,3,1,advantage | attack-roll | condition:grappled | damage | damage:acid | damage:bludgeoning | damage:piercing | damage:slashing,action,Bite | Light Hammer | Morningstar,advantage+attack-roll+condition:grappled+damage+damage:acid+damage:piercing | advantage+attack-roll+condition:grappled+damage+damage:acid+damage:slashing | advantage+attack-roll+condition:grappled+damage+damage:bludgeoning | advantage+attack-roll+condition:grappled+damage+damage:piercing,Ankheg | Bugbear Stalker | Bugbear Warrior,Mimic
attack-roll+condition:paralyzed+damage+damage:typed+saving-throw,True,False,6,2,2,1,1,attack-roll | condition:paralyzed | damage | damage:slashing | saving-throw,action,Claw,attack-roll+condition:paralyzed+damage+damage:slashing+saving-throw,Ghoul,Ghast
attack-roll+condition:poisoned+damage+damage:typed+healing,True,False,6,2,2,1,1,attack-roll | condition:poisoned | damage | damage:piercing | damage:poison | healing,action,Beard | Infernal Sting,attack-roll+condition:poisoned+damage+damage:piercing+damage:poison+healing | attack-roll+condition:poisoned+damage+damage:piercing+healing,Bone Devil,Bearded Devil
attack-roll+damage+damage:typed+max-hp-change,True,False,6,3,3,2,1,attack-roll | damage | damage:acid | damage:bludgeoning | damage:necrotic | max-hp-change,action,Life Drain | Slam,attack-roll+damage+damage:acid+damage:bludgeoning+max-hp-change | attack-roll+damage+damage:necrotic+max-hp-change,Specter | Wraith,Clay Golem
aura+condition:charmed+saving-throw,True,False,6,2,2,1,1,aura | condition:charmed | saving-throw,action | bonus-action,Captain’s Charm | Enthralling Panache,aura+condition:charmed+saving-throw,Pirate,Pirate Captain
condition:prone+damage+damage:typed+recharge+saving-throw,True,False,7,2,2,1,1,condition:prone | damage | damage:bludgeoning | damage:thunder | recharge | saving-throw,action | bonus-action,Trampling Charge (Recharge 5-6) | Whirlwind (Recharge 4-6),condition:prone+damage+damage:bludgeoning+recharge+saving-throw | condition:prone+damage+damage:thunder+recharge+saving-throw,Air Elemental,Centaur Trooper
attack-roll+condition:paralyzed+condition:poisoned+damage+damage:typed+zero-hp-effect,True,False,9,2,2,1,1,attack-roll | condition:paralyzed | condition:poisoned | damage | damage:necrotic | damage:piercing | damage:poison | zero-hp-effect,action,Bite | Umbral Dagger,attack-roll+condition:paralyzed+condition:poisoned+damage+damage:necrotic+damage:piercing+zero-hp-effect | attack-roll+condition:paralyzed+condition:poisoned+damage+damage:piercing+damage:poison+zero-hp-effect,Phase Spider,Vampire Familiar
damage+damage:typed+healing+regeneration+zero-hp-effect,True,False,10,2,2,1,1,damage | damage:fire | healing | regeneration | zero-hp-effect,trait,Regeneration,damage+damage:fire+healing+regeneration+zero-hp-effect,Troll Limb,Troll
condition:grappled,False,False,1,1,1,0,1,condition:grappled,action,Reel,condition:grappled,,Roper
condition:invisible,False,False,1,1,1,0,1,condition:invisible,trait,Invisibility,condition:invisible,,Invisible Stalker
condition:grappled+disadvantage,False,False,2,1,1,0,1,condition:grappled | disadvantage,trait,Adhesive (Object Form Only),condition:grappled+disadvantage,,Mimic
condition:incapacitated+disadvantage,False,False,2,1,1,0,1,condition:incapacitated | disadvantage,trait,Blurred Form,condition:incapacitated+disadvantage,,Steam Mephit
reaction,False,False,2,1,1,0,1,reaction,trait,Reactive Heads,reaction,,Hydra
condition:frightened+saving-throw,False,False,3,1,1,0,1,condition:frightened | saving-throw,bonus-action,Moan,condition:frightened+saving-throw,,Cloaker
condition:grappled+recharge,False,False,3,1,1,0,1,condition:grappled | recharge,bonus-action,Swoop (Recharge 5-6),condition:grappled+recharge,,Roc
condition:incapacitated+damage+damage:typed,False,False,3,1,1,0,1,condition:incapacitated | damage | damage:piercing,trait,Stake to the Heart,condition:incapacitated+damage+damage:piercing,,Vampire Spawn
damage+flat-modifier,False,False,3,1,1,0,1,damage | flat-modifier,trait,Corrosive Form,damage+flat-modifier,,Gray Ooze
attack-roll+condition:charmed+damage+damage:typed,False,False,4,1,1,0,1,attack-roll | condition:charmed | damage | damage:piercing,action,Enchanting Bow,attack-roll+condition:charmed+damage+damage:piercing,,Sprite
attack-roll+condition:frightened+damage+damage:typed,False,False,4,1,1,0,1,attack-roll | condition:frightened | damage | damage:psychic,action,Nightmare Ray,attack-roll+condition:frightened+damage+damage:psychic,,Oni
attack-roll+condition:incapacitated+damage+damage:typed,False,False,4,1,1,0,1,attack-roll | condition:incapacitated | damage | damage:thunder,action,Thundercloud,attack-roll+condition:incapacitated+damage+damage:thunder,,Cloud Giant
attack-roll+condition:paralyzed+damage+damage:typed,False,False,4,1,1,0,1,attack-roll | condition:paralyzed | damage | damage:cold,action,Paralyzing Touch,attack-roll+condition:paralyzed+damage+damage:cold,,Lich
aura+condition:blinded,False,False,4,1,1,0,1,aura | condition:blinded,reaction,Whirlwind of Sand,aura+condition:blinded,,Mummy Lord
aura+condition:restrained,False,False,4,1,1,0,1,aura | condition:restrained,bonus-action,Reel,aura+condition:restrained,,Ettercap
aura+damage,False,False,4,1,1,0,1,aura | damage,trait,Bound,aura+damage,,Shield Guardian
concentration+condition:invisible,False,False,4,1,1,0,1,concentration | condition:invisible,bonus-action,Vanish,concentration+condition:invisible,,Will-o’-Wisp
concentration+condition:prone,False,False,4,1,1,0,1,concentration | condition:prone,legendary-action,World-Shaking Movement,concentration+condition:prone,,Tarrasque
condition:blinded+condition:poisoned+saving-throw,False,False,4,1,1,0,1,condition:blinded | condition:poisoned | saving-throw,legendary-action,Toxic Ink,condition:blinded+condition:poisoned+saving-throw,,Kraken
condition:charmed+condition:grappled+healing,False,False,4,1,1,0,1,condition:charmed | condition:grappled | healing,legendary-action,Psychic Drain,condition:charmed+condition:grappled+healing,,Aboleth
condition:incapacitated+condition:paralyzed+damage+damage:typed,False,False,4,1,1,0,1,condition:incapacitated | condition:paralyzed | damage | damage:piercing,trait,Stake to the Heart,condition:incapacitated+condition:paralyzed+damage+damage:piercing,,Vampire
condition:incapacitated+damage+saving-throw,False,False,4,1,1,0,1,condition:incapacitated | damage | saving-throw,trait,Evasion,condition:incapacitated+damage+saving-throw,,Assassin
damage+damage:typed+healing,False,False,4,1,1,0,1,damage | damage:fire | healing,trait,Multiple Heads,damage+damage:fire+healing,,Hydra
damage+zero-hp-effect,False,False,4,1,1,0,1,damage | zero-hp-effect,trait,Soul Bag,damage+zero-hp-effect,,Night Hag
advantage+recharge+temporary-hp,False,False,5,1,1,0,1,advantage | recharge | temporary-hp,bonus-action,War Cry (Recharge 5-6),advantage+recharge+temporary-hp,,Frost Giant
attack-roll+condition:blinded+condition:deafened+damage+damage:typed,False,False,5,1,1,0,1,attack-roll | condition:blinded | condition:deafened | damage | damage:lightning,action,Thunderbolt,attack-roll+condition:blinded+condition:deafened+damage+damage:lightning,,Storm Giant
attack-roll+condition:grappled+condition:poisoned+damage+damage:typed,False,False,5,1,1,0,1,attack-roll | condition:grappled | condition:poisoned | damage | damage:psychic,action,Tentacle,attack-roll+condition:grappled+condition:poisoned+damage+damage:psychic,,Roper
aura+flat-modifier,False,False,5,1,1,0,1,aura | flat-modifier,reaction,Protection,aura+flat-modifier,,Shield Guardian
condition:blinded+recharge+saving-throw,False,False,5,1,1,0,1,condition:blinded | recharge | saving-throw,action,Blinding Breath (Recharge 6),condition:blinded+recharge+saving-throw,,Dust Mephit
condition:frightened+damage+damage:typed+saving-throw,False,False,5,1,1,0,1,condition:frightened | damage | damage:psychic | saving-throw,action,Horrific Visage,condition:frightened+damage+damage:psychic+saving-throw,,Ghost
condition:frightened+limited-use+saving-throw,False,False,5,1,1,0,1,condition:frightened | limited-use | saving-throw,action,Roar (3/Day),condition:frightened+limited-use+saving-throw,,Sphinx of Valor
condition:invisible+spellcasting,False,False,5,1,1,0,1,condition:invisible | spellcasting,action,Spellcasting,condition:invisible+spellcasting,,Green Hag
condition:prone+damage+damage:typed+saving-throw,False,False,5,1,1,0,1,condition:prone | damage | damage:thunder | saving-throw,action,Third Roar,condition:prone+damage+damage:thunder+saving-throw,,Sphinx of Valor
damage+damage:typed+zero-hp-effect,False,False,5,1,1,0,1,damage | damage:psychic | zero-hp-effect,trait,Magic Rope,damage+damage:psychic+zero-hp-effect,,Erinyes
damage+recharge+saving-throw,False,False,5,1,1,0,1,damage | recharge | saving-throw,action,Dragon’s Breath (Recharge 5-6),damage+recharge+saving-throw,,Half-Dragon
attack-roll+condition:grappled+damage+damage:typed+disadvantage,False,False,6,1,1,0,1,attack-roll | condition:grappled | damage | damage:acid | damage:bludgeoning | disadvantage,action,Pseudopod,attack-roll+condition:grappled+damage+damage:acid+damage:bludgeoning+disadvantage,,Mimic
aura+condition:blinded+saving-throw,False,False,6,1,1,0,1,aura | condition:blinded | saving-throw,legendary-action,Blinding Gaze,aura+condition:blinded+saving-throw,,Solar
bonus-action+condition:poisoned+limited-use+saving-throw,False,False,6,1,1,0,1,bonus-action | condition:poisoned | limited-use | saving-throw,action,Fetid Cloud (1/Day),bonus-action+condition:poisoned+limited-use+saving-throw,,Dretch
condition:deafened+disadvantage+recharge+saving-throw,False,False,6,1,1,0,1,condition:deafened | disadvantage | recharge | saving-throw,action,Cacophony (Recharge 6),condition:deafened+disadvantage+recharge+saving-throw,,Swarm of Ravens
condition:grappled+condition:stunned+damage+damage:typed+saving-throw,False,False,6,1,1,0,1,condition:grappled | condition:stunned | damage | damage:bludgeoning | saving-throw,action,Tentacle Slam,condition:grappled+condition:stunned+damage+damage:bludgeoning+saving-throw,,Otyugh
condition:paralyzed+healing+zero-hp-effect,False,False,6,1,1,0,1,condition:paralyzed | healing | zero-hp-effect,trait,Misty Escape,condition:paralyzed+healing+zero-hp-effect,,Vampire
condition:paralyzed+repeat-save+saving-throw,False,False,6,1,1,0,1,condition:paralyzed | repeat-save | saving-throw,action,Second Roar,condition:paralyzed+repeat-save+saving-throw,,Sphinx of Valor
damage+damage:typed+healing+limited-use,False,False,6,1,1,0,1,damage | damage:slashing | healing | limited-use,trait,Loathsome Limbs (4/Day),damage+damage:slashing+healing+limited-use,,Troll
damage+damage:typed+healing+saving-throw,False,False,6,1,1,0,1,damage | damage:acid | healing | saving-throw,trait,Mucus Cloud,damage+damage:acid+healing+saving-throw,,Aboleth
attack-roll+aura+damage+damage:typed,False,False,7,1,1,0,1,attack-roll | aura | damage | damage:radiant | damage:slashing,action,Flying Sword,attack-roll+aura+damage+damage:radiant+damage:slashing,,Solar
attack-roll+bonus-action+damage+damage:typed+reaction,False,False,7,1,1,0,1,attack-roll | bonus-action | damage | damage:cold | damage:piercing | reaction,action,Ice Spear,attack-roll+bonus-action+damage+damage:cold+damage:piercing+reaction,,Ice Devil
attack-roll+condition:poisoned+condition:unconscious+damage+damage:typed+saving-throw,False,False,7,1,1,0,1,attack-roll | condition:poisoned | condition:unconscious | damage | damage:piercing | saving-throw,action,Bite,attack-roll+condition:poisoned+condition:unconscious+damage+damage:piercing+saving-throw,,Homunculus
attack-roll+condition:prone+damage+damage:typed+zero-hp-effect,False,False,7,1,1,0,1,attack-roll | condition:prone | damage | damage:piercing | zero-hp-effect,action,Bite,attack-roll+condition:prone+damage+damage:piercing+zero-hp-effect,,Gibbering Mouther
aura+bonus-action+condition:incapacitated+saving-throw,False,False,7,1,1,0,1,aura | bonus-action | condition:incapacitated | saving-throw,trait,Gibbering,aura+bonus-action+condition:incapacitated+saving-throw,,Gibbering Mouther
aura+condition:frightened+condition:incapacitated+saving-throw,False,False,7,1,1,0,1,aura | condition:frightened | condition:incapacitated | saving-throw,trait,Fear Aura,aura+condition:frightened+condition:incapacitated+saving-throw,,Pit Fiend
aura+flat-modifier+saving-throw,False,False,7,1,1,0,1,aura | flat-modifier | saving-throw,action,Antennae,aura+flat-modifier+saving-throw,,Rust Monster
aura+flat-modifier+temporary-hp,False,False,7,1,1,0,1,aura | flat-modifier | temporary-hp,legendary-action,Shimmering Shield,aura+flat-modifier+temporary-hp,,Unicorn
aura+limited-use+saving-throw,False,False,7,1,1,0,1,aura | limited-use | saving-throw,reaction,Burst of Ingenuity (2/Day),aura+limited-use+saving-throw,,Sphinx of Wonder
condition:frightened+damage+damage:typed+recharge+saving-throw,False,False,7,1,1,0,1,condition:frightened | damage | damage:psychic | recharge | saving-throw,bonus-action,Horror Nimbus (Recharge 5-6),condition:frightened+damage+damage:psychic+recharge+saving-throw,,Nalfeshnee
condition:incapacitated+damage+damage:typed+recharge+saving-throw,False,False,7,1,1,0,1,condition:incapacitated | damage | damage:psychic | recharge | saving-throw,action,Mind-Rending Roar (Recharge 5-6),condition:incapacitated+damage+damage:psychic+recharge+saving-throw,,Sphinx of Lore
condition:stunned+damage+damage:typed+limited-use+saving-throw,False,False,7,1,1,0,1,condition:stunned | damage | damage:thunder | limited-use | saving-throw,action,Stunning Screech (1/Day),condition:stunned+damage+damage:thunder+limited-use+saving-throw,,Vrock
attack-roll+aura+damage+damage:typed+saving-throw,False,False,8,1,1,0,1,attack-roll | aura | damage | damage:slashing | saving-throw,action,Infernal Glaive,attack-roll+aura+damage+damage:slashing+saving-throw,,Bearded Devil
aura+concentration+limited-use,False,False,8,1,1,0,1,aura | concentration | limited-use,action,Darkness Aura (1/Day),aura+concentration+limited-use,,Darkmantle
aura+condition:blinded+damage+damage:typed+saving-throw,False,False,8,1,1,0,1,aura | condition:blinded | damage | damage:poison | saving-throw,action,Poisonous Spittle,aura+condition:blinded+damage+damage:poison+saving-throw,,Guardian Naga
aura+condition:frightened+end-turn+saving-throw,False,False,8,1,1,0,1,aura | condition:frightened | end-turn | saving-throw,reaction,Unnerving Gaze,aura+condition:frightened+end-turn+saving-throw,,Chain Devil
aura+condition:paralyzed+damage+damage:typed+saving-throw,False,False,8,1,1,0,1,aura | condition:paralyzed | damage | damage:psychic | saving-throw,action,Dreadful Glare,aura+condition:paralyzed+damage+damage:psychic+saving-throw,,Mummy Lord
aura+damage+damage:typed+disadvantage+saving-throw,False,False,8,1,1,0,1,aura | damage | damage:acid | disadvantage | saving-throw,trait,Ooze Cube,aura+damage+damage:acid+disadvantage+saving-throw,,Gelatinous Cube
condition:charmed+damage+recharge+spellcasting,False,False,8,1,1,0,1,condition:charmed | damage | recharge | spellcasting,bonus-action,Charm (Recharge 5-6),condition:charmed+damage+recharge+spellcasting,,Vampire
condition:deafened+condition:frightened+damage+damage:typed+recharge+saving-throw,False,False,8,1,1,0,1,condition:deafened | condition:frightened | damage | damage:thunder | recharge | saving-throw,action,Thunderous Bellow (Recharge 5-6),condition:deafened+condition:frightened+damage+damage:thunder+recharge+saving-throw,,Tarrasque
condition:frightened+condition:incapacitated+damage+damage:typed+recharge+saving-throw,False,False,8,1,1,0,1,condition:frightened | condition:incapacitated | damage | damage:psychic | recharge | saving-throw,action,Baleful Command (Recharge 5-6),condition:frightened+condition:incapacitated+damage+damage:psychic+recharge+saving-throw,,Rakshasa
condition:frightened+recharge+repeat-save+saving-throw,False,False,8,1,1,0,1,condition:frightened | recharge | repeat-save | saving-throw,action,Unsettling Visage (Recharge 6),condition:frightened+recharge+repeat-save+saving-throw,,Doppelganger
condition:grappled+condition:paralyzed+condition:poisoned+repeat-save+saving-throw,False,False,8,1,1,0,1,condition:grappled | condition:paralyzed | condition:poisoned | repeat-save | saving-throw,action,Paralyzing Tentacles,condition:grappled+condition:paralyzed+condition:poisoned+repeat-save+saving-throw,,Chuul
damage+transformation,False,False,8,1,1,0,1,damage | transformation,bonus-action,Shape-Shift,damage+transformation,,Vampire
attack-roll+condition:poisoned+damage+damage:typed+max-hp-change+saving-throw,False,False,9,1,1,0,1,attack-roll | condition:poisoned | damage | damage:piercing | max-hp-change | saving-throw,action,Bite,attack-roll+condition:poisoned+damage+damage:piercing+max-hp-change+saving-throw,,Otyugh
aura+bonus-action+condition:restrained+damage+damage:typed+saving-throw,False,False,9,1,1,0,1,aura | bonus-action | condition:restrained | damage | damage:force | saving-throw,action,Entangling Rope (Requires Magic Rope),aura+bonus-action+condition:restrained+damage+damage:force+saving-throw,,Erinyes
aura+condition:charmed+condition:poisoned+damage+damage:typed+saving-throw,False,False,9,1,1,0,1,aura | condition:charmed | condition:poisoned | damage | damage:psychic | saving-throw,action,Corrupting Touch,aura+condition:charmed+condition:poisoned+damage+damage:psychic+saving-throw,,Lamia
aura+condition:grappled+condition:prone+damage+damage:typed+saving-throw,False,False,9,1,1,0,1,aura | condition:grappled | condition:prone | damage | damage:bludgeoning | saving-throw,action,Fling,aura+condition:grappled+condition:prone+damage+damage:bludgeoning+saving-throw,,Kraken
aura+condition:poisoned+condition:unconscious+damage+damage:typed+saving-throw,False,False,9,1,1,0,1,aura | condition:poisoned | condition:unconscious | damage | damage:poison | saving-throw,action,Sting,aura+condition:poisoned+condition:unconscious+damage+damage:poison+saving-throw,,Pseudodragon
aura+damage+damage:typed+recharge+saving-throw,False,False,9,1,1,0,1,aura | damage | damage:lightning | recharge | saving-throw,action,Lightning Storm (Recharge 5-6),aura+damage+damage:lightning+recharge+saving-throw,,Storm Giant
attack-roll+condition:petrified+condition:restrained+damage+damage:typed+repeat-save+saving-throw,False,False,10,1,1,0,1,attack-roll | condition:petrified | condition:restrained | damage | damage:piercing | repeat-save | saving-throw,action,Petrifying Bite,attack-roll+condition:petrified+condition:restrained+damage+damage:piercing+repeat-save+saving-throw,,Cockatrice
aura+condition:blinded+condition:grappled+condition:restrained+damage+damage:typed+saving-throw,False,False,10,1,1,0,1,aura | condition:blinded | condition:grappled | condition:restrained | damage | damage:lightning | saving-throw,action,Engulf,aura+condition:blinded+condition:grappled+condition:restrained+damage+damage:lightning+saving-throw,,Shambling Mound
aura+condition:blinded+damage+damage:typed+recharge+saving-throw,False,False,10,1,1,0,1,aura | condition:blinded | damage | damage:radiant | recharge | saving-throw,action,Blinding Spittle (Recharge 5-6),aura+condition:blinded+damage+damage:radiant+recharge+saving-throw,,Gibbering Mouther
aura+condition:unconscious+damage+damage:typed+recharge+saving-throw,False,False,10,1,1,0,1,aura | condition:unconscious | damage | damage:psychic | recharge | saving-throw,bonus-action,Nightmare (Recharge 6),aura+condition:unconscious+damage+damage:psychic+recharge+saving-throw,,Incubus
aura+damage+damage:typed+max-hp-change+saving-throw,False,False,10,1,1,0,1,aura | damage | damage:necrotic | max-hp-change | saving-throw,action,Life Drain,aura+damage+damage:necrotic+max-hp-change+saving-throw,,Wight
aura+healing+saving-throw+zero-hp-effect,False,False,10,1,1,0,1,aura | healing | saving-throw | zero-hp-effect,bonus-action,Consume Life,aura+healing+saving-throw+zero-hp-effect,,Will-o’-Wisp
condition:poisoned+damage+damage:typed+recharge+repeat-save+saving-throw,False,False,10,1,1,0,1,condition:poisoned | damage | damage:poison | recharge | repeat-save | saving-throw,action,Spores (Recharge 6),condition:poisoned+damage+damage:poison+recharge+repeat-save+saving-throw,,Vrock
damage+limited-use+max-hp-change+spellcasting,False,False,10,1,1,0,1,damage | limited-use | max-hp-change | spellcasting,action,Nightmare Haunting (1/Day; Requires Soul Bag),damage+limited-use+max-hp-change+spellcasting,,Night Hag
aura+condition:charmed+damage+damage:typed+max-hp-change+saving-throw,False,False,11,1,1,0,1,aura | condition:charmed | damage | damage:psychic | max-hp-change | saving-throw,action,Draining Kiss,aura+condition:charmed+damage+damage:psychic+max-hp-change+saving-throw,,Succubus
aura+condition:frightened+limited-use+repeat-save+saving-throw,False,False,11,1,1,0,1,aura | condition:frightened | limited-use | repeat-save | saving-throw,action,Scare (1/Day),aura+condition:frightened+limited-use+repeat-save+saving-throw,,Quasit
aura+condition:grappled+condition:prone+condition:restrained+damage+damage:typed+saving-throw,False,False,11,1,1,0,1,aura | condition:grappled | condition:prone | condition:restrained | damage | damage:acid | damage:piercing | saving-throw,action,Swallow,aura+condition:grappled+condition:prone+condition:restrained+damage+damage:acid+damage:piercing+saving-throw,,Kraken
aura+condition:grappled+condition:restrained+damage+damage:typed+recharge+saving-throw,False,False,11,1,1,0,1,aura | condition:grappled | condition:restrained | damage | damage:bludgeoning | recharge | saving-throw,action,Whelm (Recharge 4-6),aura+condition:grappled+condition:restrained+damage+damage:bludgeoning+recharge+saving-throw,,Water Elemental
attack-roll+condition:poisoned+damage+damage:typed+healing+repeat-save+saving-throw,False,False,12,1,1,0,1,attack-roll | condition:poisoned | damage | damage:piercing | damage:poison | healing | repeat-save | saving-throw,action,Bite,attack-roll+condition:poisoned+damage+damage:piercing+damage:poison+healing+repeat-save+saving-throw,,Pit Fiend
attack-roll+condition:poisoned+damage+damage:typed+max-hp-change+repeat-save+saving-throw,False,False,12,1,1,0,1,attack-roll | condition:poisoned | damage | damage:piercing | max-hp-change | repeat-save | saving-throw,action,Bite,attack-roll+condition:poisoned+damage+damage:piercing+max-hp-change+repeat-save+saving-throw,,Death Dog
aura+bonus-action+condition:incapacitated+recharge+saving-throw+zero-hp-effect,False,False,12,1,1,0,1,aura | bonus-action | condition:incapacitated | recharge | saving-throw | zero-hp-effect,action,Possession (Recharge 6),aura+bonus-action+condition:incapacitated+recharge+saving-throw+zero-hp-effect,,Ghost
aura+condition:charmed+condition:grappled+damage+damage:typed+saving-throw+zero-hp-effect,False,False,12,1,1,0,1,aura | condition:charmed | condition:grappled | damage | damage:psychic | saving-throw | zero-hp-effect,action,Consume Memories,aura+condition:charmed+condition:grappled+damage+damage:psychic+saving-throw+zero-hp-effect,,Aboleth
aura+condition:charmed+damage+limited-use+repeat-save+saving-throw,False,False,12,1,1,0,1,aura | condition:charmed | damage | limited-use | repeat-save | saving-throw,action,Dominate Mind (2/Day),aura+condition:charmed+damage+limited-use+repeat-save+saving-throw,,Aboleth
advantage+attachment-state+attack-roll+condition:blinded+damage+damage:typed+flat-modifier,False,False,13,1,1,0,1,advantage | attachment-state | attack-roll | condition:blinded | damage | damage:bludgeoning | flat-modifier,action,Crush,advantage+attachment-state+attack-roll+condition:blinded+damage+damage:bludgeoning+flat-modifier,,Darkmantle
attachment-state+attack-roll+aura+condition:blinded+damage+damage:typed,False,False,13,1,1,0,1,attachment-state | attack-roll | aura | condition:blinded | damage | damage:piercing,action,Attach,attachment-state+attack-roll+aura+condition:blinded+damage+damage:piercing,,Cloaker
aura+condition:frightened+damage+damage:typed+recharge+saving-throw+zero-hp-effect,False,False,13,1,1,0,1,aura | condition:frightened | damage | damage:psychic | recharge | saving-throw | zero-hp-effect,action,Death Glare (Recharge 5-6),aura+condition:frightened+damage+damage:psychic+recharge+saving-throw+zero-hp-effect,,Sea Hag
attack-roll+aura+damage+damage:typed+recharge+saving-throw+zero-hp-effect,False,False,14,1,1,0,1,attack-roll | aura | damage | damage:force | damage:slashing | recharge | saving-throw | zero-hp-effect,reaction,Deflect Missile (Recharge 5-6),attack-roll+aura+damage+damage:force+damage:slashing+recharge+saving-throw+zero-hp-effect,,Stone Giant
aura+concentration+condition:charmed+condition:incapacitated+damage+repeat-save+saving-throw,False,False,14,1,1,0,1,aura | concentration | condition:charmed | condition:incapacitated | damage | repeat-save | saving-throw,action,Luring Song,aura+concentration+condition:charmed+condition:incapacitated+damage+repeat-save+saving-throw,,Harpy
